,name,fnn,same,sub,target,FNN,Same,Sub
0,5d83021130582ea2977b0934,,,,0.0362080749999584,"{'N': 1, 'Mn': 1}","{'Mn': 2, 'N': 2}","{'N': 1, 'Mn': 2}"
1,5db2e3e103a7bcdcf967e08f,,,,1.0772955149999994,{'Au': 3},"{'Au': 2, 'Y': 4}","{'Au': 6, 'Y': 1}"
2,5d8688095436ecdede9a4570,,,,1.1196767649999977,{'Au': 1},"{'Au': 2, 'K': 2}",{'Au': 1}
3,5d83021130582ea2977b1046,,,,0.3195200150000481,{'Bi': 1},"{'Pd': 3, 'Bi': 2}",{'Pd': 1}
4,5d8406b1dafe860ac9c4c878,,,,0.5150226349999976,{'Sn': 1},{'Ag': 6},{'Empty': 1}
5,5d83021030582ea2977aefa0,,,,0.4233461950000183,{'Cu': 2},"{'Pt': 6, 'Cu': 2}","{'Pt': 4, 'Al': 1}"
6,5d83020d30582ea2977a1e1c,,,,-0.5640182650000192,{'Ga': 1},"{'Ga': 3, 'Ir': 2}","{'Ir': 1, 'Ga': 1}"
7,5d83020d30582ea2977a37ec,,,,0.5005010950000006,{'Ag': 2},{'Ag': 5},{'Ag': 5}
8,5d83020f30582ea2977a8cd5,,,,-2.164168945000002,{'Ca': 2},{'Ca': 5},{'Ca': 7}
9,5d9eacfd681b906c3780b3c9,,,,-0.911015195000008,{'Au': 1},"{'Zr': 2, 'Au': 2}",{'Au': 1}
