,name,fnn,same,sub,target,FNN,Same,Sub
0,5d83020c30582ea2977a0e43,,,,0.1493543549999976,"{'Ag': 1, 'Au': 2}","{'Ag': 2, 'Au': 7}","{'Ag': 1, 'Au': 5}"
1,5d83020c30582ea2977a0e48,,,,-3.320857875,{'H': 1},{'Empty': 1},{'H': 2}
2,5d83020c30582ea2977a0e4d,,,,0.1736913850000028,{'Ni': 1},{'Sb': 2},{'Sb': 2}
3,5d83020c30582ea2977a0e52,,,,0.3588131850000002,{'Ga': 1},{'Ga': 2},{'Ga': 4}
4,5d83020c30582ea2977a0e59,,,,0.1731790250000009,{'Ni': 1},{'Sb': 2},{'Sb': 2}
5,5d83020c30582ea2977a0e63,,,,0.2662176550000033,"{'Sb': 1, 'Pd': 1}","{'Sb': 4, 'Pd': 2}","{'Sb': 2, 'Pd': 2}"
6,5d83020c30582ea2977a0e65,,,,-0.2548244550000071,"{'Pt': 1, 'Fe': 2}","{'Pt': 2, 'N': 3, 'Fe': 5}","{'Pt': 2, 'Fe': 3}"
7,5d83020c30582ea2977a0e78,,,,0.3011537549999992,"{'Sb': 1, 'Al': 1}","{'Sb': 1, 'Al': 2}","{'Sb': 1, 'Al': 1}"
8,5d83020c30582ea2977a0e89,,,,0.3139400150000013,"{'Ag': 2, 'Al': 1}","{'Ag': 6, 'Al': 3}","{'Ag': 4, 'Al': 3}"
9,5d83020c30582ea2977a0e8e,,,,0.336021655000001,"{'Si': 1, 'Cu': 2}","{'Si': 2, 'Cu': 7}","{'Si': 1, 'Cu': 5}"
